,PlayerName,Club,Nationality,Assists
0,Pedro Neto,Wolverhampton Wanderers,Portugal,5
1,James Maddison,Tottenham Hotspur,England,5
2,Kieran Trippier,Newcastle United,England,5
3,Vladimír Coufal,West Ham United,Czech Republic,4
4,Mohamed Salah,Liverpool,Egypt,4
5,Ollie Watkins,Aston Villa,England,4
6,Julián Álvarez,Manchester City,Argentina,3
7,Moussa Diaby,Aston Villa,France,3
8,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,3
9,Phil Foden,Manchester City,England,3
10,Pedro Neto,Wolverhampton Wanderers,Portugal,5
11,James Maddison,Tottenham Hotspur,England,5
12,Kieran Trippier,Newcastle United,England,5
13,Vladimír Coufal,West Ham United,Czech Republic,4
14,Mohamed Salah,Liverpool,Egypt,4
15,Ollie Watkins,Aston Villa,England,4
16,Julián Álvarez,Manchester City,Argentina,3
17,Moussa Diaby,Aston Villa,France,3
18,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,3
19,Phil Foden,Manchester City,England,3
20,Pedro Neto,Wolverhampton Wanderers,Portugal,5
21,James Maddison,Tottenham Hotspur,England,5
22,Kieran Trippier,Newcastle United,England,5
23,Vladimír Coufal,West Ham United,Czech Republic,4
24,Mohamed Salah,Liverpool,Egypt,4
25,Ollie Watkins,Aston Villa,England,4
26,Julián Álvarez,Manchester City,Argentina,3
27,Moussa Diaby,Aston Villa,France,3
28,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,3
29,Phil Foden,Manchester City,England,3
